##"NA: Not annotated as a TF by FlyTF (Adryan and Teichmann 2006)"
Flybase ID,gene symbol,DBD family,gene symbol synonym,FlyTF final call,FlyTF score
FBgn0039808,CG12071,zf-C2H2,,yes,6
FBgn0035238,CG12104,HMG_box,,yes,6
FBgn0029957,CG12155,MADF,,NA,NA
FBgn0043796,CG12219,zf-C2H2,,yes,6
FBgn0029822,CG12236,zf-C2H2,,yes,6
FBgn0032295,CG12299,zf-C2H2,,yes,6
FBgn0035137,CG1233,zf-C2H2,,yes,6
FBgn0033581,CG12391,zf-C2H2,,yes,6
FBgn0035481,CG12605,zf-C2H2,,yes,6
FBgn0030952,CG12609,MADF,,NA,NA
FBgn0040929,CG12659,YL1_C,,NA,NA
FBgn0033459,CG12744,zf-C2H2,,yes,6
FBgn0037206,CG12768,MADF,,NA,NA
FBgn0033252,CG12769,zf-C2H2,,yes,6
FBgn0033569,CG12942,zf-C2H2,,yes,6
FBgn0032150,CG13123,zf-C2H2,,yes,6
FBgn0033627,CG13204,BESS,,yes,6
FBgn0035643,CG13287,zf-C2H2,,yes,6
FBgn0035687,CG13296,zf-C2H2,,yes,6
FBgn0034520,CG13424,Homeobox,lms,yes,5
FBgn0039209,CG13624,bZIP,,yes,6
FBgn0031874,CG13775,zf-BED,,yes,6
FBgn0035157,CG13894,THAP,,NA,NA
FBgn0035160,CG13897,BESS,,yes,6
FBgn0031718,CG14014,bZIP,,NA,NA
FBgn0040392,CG14050,zf-BED,,NA,NA
FBgn0029895,CG14441,zf-C2H2,,yes,6
FBgn0037275,CG14655,zf-C2H2,,yes,6
FBgn0037317,CG14667,zf-C2H2,,yes,6
FBgn0037920,CG14710,zf-C2H2,,yes,6
FBgn0037922,CG14711,zf-C2H2,,yes,6
FBgn0038273,CG14860,THAP,,NA,NA
FBgn0035407,CG14962,zf-C2H2,,yes,6
FBgn0035414,CG14965,THAP,,NA,NA
FBgn0035518,CG15011,zf-NF-X1,,yes,6
FBgn0034379,CG15073,zf-C2H2,,yes,6
FBgn0028878,CG15269,zf-C2H2,,yes,6
FBgn0031144,CG1529,zf-C2H2,,yes,6
FBgn0030009,CG15336,zf-C2H2,,yes,6
FBgn0031610,CG15436,zf-C2H2,,yes,6
FBgn0032493,CG15479,bZIP,,NA,NA
FBgn0039712,CG15514,zf-BED,,yes,6
FBgn0030673,CG15601,MADF,,NA,NA
FBgn0038833,CG15696,Homeobox,,yes,5
FBgn0034120,CG15710,zf-C2H2,,yes,6
FBgn0033186,CG1602,zf-C2H2,,yes,6
FBgn0033185,CG1603,zf-C2H2,,yes,6
FBgn0033183,CG1620,Myb_DNA-binding,,yes,6
FBgn0033182,CG1621,BESS,Coop,yes,6
FBgn0039602,CG1647,zf-C2H2,,NA,NA
FBgn0033449,CG1663,zf-C2H2,,yes,6
FBgn0003715,CG16778,HTH_psq,,yes,6
FBgn0037698,CG16779,Myb_DNA-binding|zf-C2H2,,yes,6
FBgn0032490,CG16813,bZIP,,NA,NA
FBgn0032491,CG16815,bZIP,,NA,NA
FBgn0028931,CG16863,zf-BED,,yes,5
FBgn0037735,CG16899,Fork_head,FoxP,yes,6
FBgn0036248,CG17153,zf-BED,ssp,NA,NA
FBgn0035144,CG17181,zf-C2H2,,yes,6
FBgn0038741,CG17186,zf-C2H2,,yes,6
FBgn0028895,CG17328,zf-C2H2,,yes,6
FBgn0036396,CG17359,zf-C2H2,,yes,6
FBgn0036395,CG17361,zf-C2H2,,yes,6
FBgn0033934,CG17385,zf-C2H2,,yes,6
FBgn0032763,CG17568,zf-C2H2,,yes,6
FBgn0031597,CG17612,zf-C2H2,,yes,6
FBgn0038550,CG17801,zf-C2H2,,yes,6
FBgn0038549,CG17802,zf-C2H2,,yes,6
FBgn0038547,CG17803,zf-C2H2,,yes,6
FBgn0038548,CG17806,zf-C2H2,,yes,6
FBgn0025635,CG17829,zf-C2H2,,yes,6
FBgn0032600,CG17912,zf-BED|zf-C2H2,,yes,6
FBgn0039860,CG1792,zf-C2H2,,yes,6
FBgn0033491,CG18011,zf-C2H2,,yes,6
FBgn0030012,CG18262,zf-C2H2,,yes,6
FBgn0032979,CG1832,zf-C2H2,,yes,6
FBgn0033155,CG1845,zf-C2H2,Br140,yes,6
FBgn0037931,CG18476,zf-C2H2,,yes,6
FBgn0038592,CG18599,Homeobox,,yes,5
FBgn0032202,CG18619,bZIP,,yes,6
FBgn0042205,CG18764,zf-C2H2,,yes,6
FBgn0039905,CG2052,zf-C2H2,Lin29,yes,6
FBgn0030003,CG2116,zf-C2H2,,yes,6
FBgn0030005,CG2120,zf-C2H2,,yes,6
FBgn0030008,CG2129,zf-C2H2,,yes,6
FBgn0035213,CG2199,zf-C2H2,,yes,6
FBgn0030240,CG2202,zf-C2H2,,yes,6
FBgn0014931,CG2678,zf-C2H2,,yes,6
FBgn0024975,CG2712,zf-C2H2,,yes,6
FBgn0029672,CG2875,CBF,,NA,NA
FBgn0030206,CG2889,zf-C2H2,,yes,6
FBgn0050020,CG30020,zf-C2H2,,yes,6
FBgn0029928,CG3032,zf-C2H2,,yes,6
FBgn0050403,CG30403,BESS,,yes,6
FBgn0050431,CG30431,zf-C2H2,,yes,6
FBgn0034946,CG3065,zf-C2H2,,yes,6
FBgn0051224,CG31224,zf-C2H2,,yes,6
FBgn0051365,CG31365,zf-C2H2,,yes,6
FBgn0051388,CG31388,zf-C2H2,,yes,6
FBgn0051392,CG31392,zf-C2H2,CG42726,yes,6
FBgn0051441,CG31441,zf-C2H2,,yes,6
FBgn0051612,CG31612,zf-C2H2,,yes,6
FBgn0051627,CG31627,MADF,,NA,NA
FBgn0034961,CG3163,MADF,,NA,NA
FBgn0031375,CG31670,zf-C2H2,erm,yes,6
FBgn0051875,CG31875,SANT,,yes,6
FBgn0052006,CG32006,Fork_head,,yes,6
FBgn0052105,CG32105,Homeobox,,yes,5
FBgn0052121,CG32121,zf-C2H2,,yes,6
FBgn0052264,CG32264,RPEL,,NA,NA
FBgn0031434,CG3227,BEN,insv,NA,NA
FBgn0052532,CG32532,Homeobox,,yes,5
FBgn0052767,CG32767,zf-C2H2,,yes,6
FBgn0052772,CG32772,AT_hook|zf-C2H2,,yes,6
FBgn0052778,CG32778,zf-C2HC,CG43689,yes,6
FBgn0260741,CG3281,zf-C2H2,,yes,6
FBgn0053017,CG33017,MADF,,NA,NA
FBgn0053213,CG33213,zf-C2H2,,yes,6
FBgn0053557,CG33557,HLH,,yes,5
FBgn0031573,CG3407,zf-C2H2,,yes,6
FBgn0085369,CG34340,Homeobox,,yes,6
FBgn0085396,CG34367,Homeobox,,yes,6
FBgn0085405,CG34376,FLYWCH,,NA,NA
FBgn0085435,CG34406,zf-C2H2,,yes,6
FBgn0085451,CG34422,ARID,,yes,6
FBgn0028887,CG3491,AT_hook,,yes,6
FBgn0029824,CG3726,AT_hook|HTH_psq_like,,yes,6
FBgn0032130,CG3838,BESS,,yes,6
FBgn0029867,CG3847,zf-C2H2,,yes,6
FBgn0036423,CG3919,BESS,,yes,6
FBgn0038472,CG3995,zf-BED,,yes,6
FBgn0250756,Dbx,Homeobox,,NA,NA
FBgn0034114,CG4282,AT_hook|zf-C2H2,,yes,6
FBgn0030455,CG4318,zf-C2H2,,yes,6
FBgn0036274,CG4328,Homeobox,,yes,5
FBgn0038787,CG4360,zf-C2H2,,yes,6
FBgn0039078,CG4374,zf-C2H2,,yes,6
FBgn0030432,CG4404,BESS,,yes,6
FBgn0038765,CG4424,zf-C2H2,,yes,6
FBgn0031894,CG4496,zf-C2H2,,yes,6
FBgn0029936,CG4617,HMG_box,,yes,6
FBgn0035036,CG4707,zf-C2H2,,yes,6
FBgn0039355,CG4730,zf-C2H2,,yes,6
FBgn0037876,CG4820,zf-C2H2,,yes,6
FBgn0038766,CG4854,zf-C2H2,,yes,6
FBgn0038768,CG4936,zf-C2H2,,yes,6
FBgn0043457,CG5180,MADF,,NA,NA
FBgn0032473,CG5204,zf-C2H2,,yes,6
FBgn0038047,CG5245,zf-C2H2,,yes,6
FBgn0034926,CG5591,HMG_box,,yes,6
FBgn0039169,CG5669,zf-C2H2,Spps,yes,6
FBgn0032587,CG5953,MADF,,yes,6
FBgn0036155,CG6163,MADF,,NA,NA
FBgn0036152,CG6175,MADF,,NA,NA
FBgn0037794,CG6254,zf-C2H2,,yes,6
FBgn0036126,CG6272,bZIP,,yes,5
FBgn0038316,CG6276,BESS,,yes,6
FBgn0038301,CG6654,zf-C2H2,,yes,6
FBgn0035902,CG6683,MADF,,NA,NA
FBgn0037877,CG6689,THAP|zf-C2H2,,yes,6
FBgn0035903,CG6765,zf-C2H2,,yes,6
FBgn0037918,CG6791,zf-C2H2,,yes,6
FBgn0032401,CG6792,zf-C2H2,,yes,6
FBgn0037921,CG6808,zf-C2H2,,yes,6
FBgn0037923,CG6813,zf-C2H2,,yes,6
FBgn0036478,CG6854,BESS|MADF,CTPsyn,yes,6
FBgn0035136,CG6905,Myb_DNA-binding|SANT,,yes,6
FBgn0038978,CG7045,HMG_box,,yes,6
FBgn0038979,CG7046,HMG_box,,yes,6
FBgn0038852,CG7056,Homeobox,,yes,5
FBgn0030963,CG7101,zf-C2H2,,yes,6
FBgn0036791,CG7271,zf-C2H2,,yes,6
FBgn0038551,CG7357,zf-C2H2,,yes,6
FBgn0036179,CG7368,zf-C2H2,,yes,6
FBgn0036522,CG7372,zf-C2H2,,yes,6
FBgn0035691,CG7386,zf-C2H2,,yes,6
FBgn0030990,CG7556,SANT,,yes,6
FBgn0038626,CG7691,zf-C2H2,,yes,6
FBgn0033616,CG7745,MADF,,NA,NA
FBgn0034096,CG7786,bZIP,,yes,6
FBgn0036124,CG7839,CBF,,NA,NA
FBgn0039740,CG7928,zf-C2H2,,yes,6
FBgn0037584,CG7963,zf-C2H2,,yes,6
FBgn0038244,CG7987,zf-C2H2,,yes,6
FBgn0033993,CG8089,zf-C2H2,,yes,6
FBgn0030664,CG8119,BESS,,yes,6
FBgn0037617,CG8145,zf-C2H2,,yes,6
FBgn0037619,CG8159,zf-C2H2,,yes,6
FBgn0033358,CG8216,PAX,,yes,6
FBgn0035824,CG8281,MADF,,NA,NA
FBgn0026573,CG8290,MADF,,NA,NA
FBgn0037717,CG8301,zf-C2H2,,yes,6
FBgn0037722,CG8319,zf-C2H2,,yes,6
FBgn0037634,CG8359,BESS,,yes,6
FBgn0034062,CG8388,AT_hook|zf-C2H2,,yes,6
FBgn0037746,CG8478,zf-C2H2,,yes,6
FBgn0033762,CG8632,DNA_bd_put,,NA,NA
FBgn0036900,CG8765,MADF,,yes,6
FBgn0030710,CG8924,HTH_psq_like,,yes,6
FBgn0030680,CG8944,zf-C2H2,,yes,6
FBgn0035202,CG9139,zf-A20,Rabex-5,yes,6
FBgn0030659,CG9215,zf-C2H2,,yes,6
FBgn0032512,CG9305,Myb_DNA-binding,,yes,6
FBgn0026582,CG9418,HMG_box,,yes,6
FBgn0034599,CG9437,BESS,,yes,6
FBgn0031086,CG9571,Fork_head,fd19B,yes,6
FBgn0030787,CG9609,zf-C2H2,,yes,6
FBgn0029939,CG9650,zf-C2H2,,yes,6
FBgn0037445,CG9727,RFX_DNA_binding,,yes,6
FBgn0037620,CG9793,zf-C2H2,ranshi,yes,6
FBgn0037621,CG9797,zf-C2H2,,yes,6
FBgn0030219,CG9817,zf-C2H2,CG43347,yes,6
FBgn0034821,CG9876,Homeobox,,yes,5
FBgn0031435,CG9883,BEN,,NA,NA
FBgn0034810,CG9895,zf-C2H2,CG42741,yes,6
FBgn0032469,CG9932,zf-C2H2,,yes,6
FBgn0035721,CG9948,MADF,,NA,NA
FBgn0029504,CHES-1-like,Fork_head,,yes,6
FBgn0000307,chif,AT_hook,,NA,NA
FBgn0086758,chinmo,zf-C2H2,,yes,6
FBgn0028387,chm,zf-C2HC,,yes,6
FBgn0015371,chn,zf-C2H2,,yes,1
FBgn0043001,Chrac-16,CBFA_NFYB_domain,,NA,NA
FBgn0004859,ci,zf-C2H2,,yes,1
FBgn0028386,cic,HMG_box,,yes,6
FBgn0015025,CkIIalpha-i1,zf-C2H2,,yes,6
FBgn0023076,Clk,HLH,,yes,2
FBgn0000338,cnc,bZIP,,yes,5
FBgn0261573,CoRest,Myb_DNA-binding|SANT,,yes,4
FBgn0000370,crc,bZIP,,yes,3
FBgn0004396,CrebA,bZIP,,yes,1
FBgn0014467,CrebB-17A,bZIP,,yes,2
FBgn0021738,Crg-1,Fork_head,,yes,6
FBgn0014143,croc,Fork_head,,yes,5
FBgn0020309,crol,zf-C2H2,,yes,6
FBgn0001994,crp,HLH,,yes,5
FBgn0004198,ct,CUT|Homeobox,,yes,1
FBgn0035769,CTCF,zf-C2H2,,yes,6
FBgn0259938,cwo,HLH,,yes,1
FBgn0023094,cyc,HLH,,yes,5
FBgn0000411,D,HMG_box,,yes,2
FBgn0000412,D1,AT_hook,,yes,5
FBgn0022935,D19A,zf-C2H2,,yes,6
FBgn0022699,D19B,zf-C2H2,,yes,6
FBgn0000413,da,HLH,,yes,1
FBgn0005677,dac,Ski_Sno,,yes,1
FBgn0030093,dalao,HMG_box,,yes,6
FBgn0039286,dan,HTH_psq_like,,NA,NA
FBgn0039283,danr,HTH_psq_like,,NA,NA
FBgn0013799,Deaf1,SAND,,yes,5
FBgn0008649,dei,HLH,tx,yes,5
FBgn0026533,Dek,AT_hook,,NA,NA
FBgn0000439,Dfd,Homeobox,,yes,1
FBgn0011274,Dif,RHD|TIG,,yes,1
FBgn0023091,dimm,HLH,,yes,6
FBgn0040466,Dip2,THAP,,NA,NA
FBgn0040465,Dip3,BESS,,yes,1
FBgn0000459,disco,zf-C2H2,,yes,2
FBgn0042650,disco-r,zf-C2H2,,yes,6
FBgn0260632,dl,RHD|TIG,,yes,1
FBgn0000157,Dll,Homeobox,,yes,1
FBgn0000472,dm,HLH,,yes,6
FBgn0030477,dmrt11E,DM,,yes,6
FBgn0038851,dmrt93B,DM,,yes,6
FBgn0039683,dmrt99B,DM,,yes,6
FBgn0028789,Doc1,T-box,,yes,1
FBgn0035956,Doc2,T-box,,yes,6
FBgn0035954,Doc3,T-box,,yes,6
FBgn0011763,Dp,E2F_TDP,,yes,1
FBgn0010109,dpn,HLH,,yes,1
FBgn0000492,Dr,Homeobox,,yes,5
FBgn0015664,Dref,zf-BED,,yes,1
FBgn0024244,drm,zf-C2H2,,yes,6
FBgn0015381,dsf,zf-C4,,yes,1
FBgn0011764,Dsp1,HMG_box,,yes,5
FBgn0000504,dsx,DM,,yes,1
FBgn0020307,dve,Homeobox,,yes,6
FBgn0000520,dwg,zf-C2H2,,yes,1
FBgn0039411,dys,HLH,,yes,3
FBgn0000541,E(bx),AT_hook|DDT,,yes,6
FBgn0000591,E(spl),HLH,,yes,5
FBgn0260243,E(var)3-9,zf-C2H2,,yes,6
FBgn0000629,E(z),SANT,,yes,6
FBgn0011766,E2f,E2F_TDP,,yes,1
FBgn0024371,E2f2,E2F_TDP,,yes,2
FBgn0008646,E5,Homeobox,,yes,5
FBgn0000546,EcR,zf-C4,,yes,5
FBgn0000560,eg,zf-C4,,yes,6
FBgn0000567,Eip74EF,Ets,,yes,1
FBgn0000568,Eip75B,zf-C4,,yes,6
FBgn0004865,Eip78C,zf-C4,,yes,6
FBgn0013948,Eip93F,HTH_psq,,yes,6
FBgn0004858,elB,zf-C2H2,,yes,6
FBgn0000575,emc,HLH,,yes,3
FBgn0000576,ems,Homeobox,,yes,5
FBgn0000577,en,Homeobox,,yes,1
FBgn0035849,ERR,zf-C4,,yes,5
FBgn0001981,esg,zf-C2H2,,yes,1
FBgn0028642,esn,zf-C2H2,,NA,NA
FBgn0005660,Ets21C,Ets,,yes,6
FBgn0005658,Ets65A,Ets,,yes,6
FBgn0039225,Ets96B,Ets,,yes,6
FBgn0004510,Ets97D,Ets,,yes,6
FBgn0005659,Ets98B,Ets,,yes,6
FBgn0000606,eve,Homeobox,,yes,1
FBgn0005427,ewg,Nrf1_DNA-bind,,yes,6
FBgn0000611,exd,Homeobox,,yes,1
FBgn0041156,exex,Homeobox,,yes,1
FBgn0005558,ey,Homeobox|PAX,,yes,1
FBgn0000625,eyg,Homeobox|PAX,,yes,5
FBgn0061173,fd3F,Fork_head,,yes,6
FBgn0004896,fd59A,Fork_head,,yes,6
FBgn0004895,fd64A,Fork_head,,yes,6
FBgn0004897,fd96Ca,Fork_head,,yes,6
FBgn0004898,fd96Cb,Fork_head,,yes,6
FBgn0037475,Fer1,HLH,,yes,5
FBgn0038402,Fer2,HLH,,yes,6
FBgn0037937,Fer3,HLH,,yes,5
FBgn0000659,fkh,Fork_head,,yes,1
FBgn0038197,foxo,Fork_head,,yes,1
FBgn0004652,fru,zf-C2H2,,yes,6
FBgn0004656,fs(1)h,zeste,,NA,NA
FBgn0001077,ftz,Homeobox,,yes,1
FBgn0001078,ftz-f1,zf-C4,,yes,1
FBgn0029173,fu2,zf-C2H2,,yes,6
FBgn0040372,G9a,AT_hook,,NA,NA
FBgn0032223,GATAd,GATA,,yes,6
FBgn0038391,GATAe,GATA,,yes,3
FBgn0030627,gce,HLH,,yes,6
FBgn0014179,gcm,GCM,,yes,1
FBgn0019809,gcm2,GCM,,yes,6
FBgn0050011,gem,CP2,,yes,6
FBgn0250732,gfzf,FLYWCH,,NA,NA
FBgn0004618,gl,zf-C2H2,,yes,1
FBgn0263097,Glut4EF,C-clamp|zf-C2H2 ,,NA,NA
FBgn0001133,grau,zf-C2H2,,yes,1
FBgn0259211,grh,CP2,,yes,1
FBgn0001138,grn,GATA,,yes,5
FBgn0001148,gsb,Homeobox|PAX,,yes,1
FBgn0001147,gsb-n,Homeobox|PAX,,yes,1
FBgn0010323,Gsc,Homeobox,,yes,1
FBgn0001150,gt,bZIP,,yes,1
FBgn0010825,Gug,Myb_DNA-binding,,yes,3
FBgn0001168,h,HLH,,yes,1
FBgn0016660,H15,T-box,,yes,6
FBgn0001170,H2.0,Homeobox,,yes,5
FBgn0045852,ham,zf-C2H2,,yes,6
FBgn0032209,Hand,HLH,,yes,3
FBgn0026575,hang,zf-C2H2,,yes,6
FBgn0001180,hb,zf-C2H2,,yes,1
FBgn0008636,hbn,Homeobox,,yes,5
FBgn0030899,Her,HLH,,yes,6
FBgn0001185,her,zf-C2H2,,yes,6
FBgn0027788,Hey,HLH,,yes,6
FBgn0040318,HGTX,Homeobox,,yes,6
FBgn0261434,hkb,zf-C2H2,,yes,5
FBgn0261283,HLH106,HLH,,yes,1
FBgn0011276,HLH3B,HLH,,yes,6
FBgn0011277,HLH4C,HLH,,yes,6
FBgn0022740,HLH54F,HLH,,yes,6
FBgn0002609,HLHm3,HLH,,yes,5
FBgn0002631,HLHm5,HLH,,yes,1
FBgn0002633,HLHm7,HLH,,yes,3
FBgn0002733,HLHmbeta,HLH,,yes,6
FBgn0002734,HLHmdelta,HLH,,yes,2
FBgn0002735,HLHmgamma,HLH,,yes,2
FBgn0004362,HmgD,HMG_box,,yes,6
FBgn0010228,HmgZ,HMG_box,,yes,6
FBgn0001206,Hmr,MADF,,NA,NA
FBgn0085448,Hmx,Homeobox,,yes,5
FBgn0004914,Hnf4,zf-C4,,yes,5
FBgn0014859,Hr38,zf-C4,,yes,1
FBgn0261239,Hr39,zf-C4,,yes,1
FBgn0023546,Hr4,zf-C4,,yes,6
FBgn0000448,Hr46,zf-C4,,yes,1
FBgn0034012,Hr51,zf-C4,,yes,6
FBgn0015239,Hr78,zf-C4,,yes,5
FBgn0037436,Hr83,zf-C4,,yes,5
FBgn0015240,Hr96,zf-C4,,yes,5
FBgn0001222,Hsf,HSF_DNA-bind,,yes,1
FBgn0001235,hth,Homeobox,,yes,2
FBgn0025776,ind,Homeobox,,yes,5
FBgn0001269,inv,Homeobox,,yes,5
FBgn0036004,Jarid2,ARID|AT_hook,,yes,6
FBgn0039350,jigr1,MADF,,NA,NA
FBgn0027339,jim,zf-C2H2,,yes,6
FBgn0086655,jing,zf-C2H2,,yes,6
FBgn0001291,Jra,bZIP,,yes,1
FBgn0015396,jumu,Fork_head,,yes,6
FBgn0001297,kay,bZIP,,yes,1
FBgn0011236,ken,zf-C2H2,,yes,6
FBgn0013469,klu,zf-C2H2,,yes,6
FBgn0001319,kn,TIG,,yes,6
FBgn0001320,kni,zf-C4,,yes,1
FBgn0001323,knrl,zf-C4,,yes,6
FBgn0001325,Kr,zf-C2H2,,yes,1
FBgn0028420,Kr-h1,zf-C2H2,,yes,6
FBgn0002561,l(1)sc,HLH,,yes,5
FBgn0086910,l(3)neo38,zf-C2H2,,yes,6
FBgn0002522,lab,Homeobox,,yes,1
FBgn0040918,Lag1,Homeobox,schlank,yes,5
FBgn0011278,lbe,Homeobox,,yes,1
FBgn0008651,lbl,Homeobox,,yes,5
FBgn0034217,Lhr,BESS,,yes,6
FBgn0031759,lid,ARID|zf-C5HC2,,yes,6
FBgn0041111,lilli,AF-4|AT_hook,,yes,6
FBgn0026411,Lim1,Homeobox,,yes,1
FBgn0002023,Lim3,Homeobox,,yes,5
FBgn0039039,lmd,zf-C2H2,,yes,1
FBgn0005630,lola,zf-C2H2,,yes,6
FBgn0040765,luna,zf-C2H2,,yes,6
FBgn0002576,lz,Runt,,yes,2
FBgn0011648,Mad,MH1,,yes,1
FBgn0034534,maf-S,bZIP_Maf,,yes,1
FBgn0085375,mamo,zf-C2H2,,yes,6
FBgn0017578,Max,HLH,,yes,5
FBgn0038016,MBD-R2,THAP|zf-C2H2,,yes,6
FBgn0011655,Med,MH1,,yes,1
FBgn0011656,Mef2,SRF-TF,,yes,2
FBgn0025874,Meics,zf-C2H2,,yes,6
FBgn0037207,Mes2,MADF,,NA,NA
FBgn0034726,Mes4,CBFA_NFYB_domain,,NA,NA
FBgn0034240,MESR4,zf-C2H2,,yes,6
FBgn0002723,Met,HLH,,yes,3
FBgn0005511,mid,T-box,,yes,6
FBgn0032940,Mio,HLH,,yes,1
FBgn0014343,mirr,Homeobox,,yes,1
FBgn0067895,Mitf,HLH,,yes,6
FBgn0083077,mld,zf-C2H2,,yes,6
FBgn0036134,Mnf,Fork_head,fd68A,yes,6
FBgn0023215,Mnt,HLH,,yes,6
FBgn0002781,mod(mdg4),BEN|FLYWCH,,NA,NA
FBgn0052296,Mrtf,RPEL,,yes,2
FBgn0027951,MTA1-like,GATA|Myb_DNA-binding|zf-C2H2,,yes,6
